best of new done 0.35708551930823934
best of new done 0.38233012308746117
best of new done 0.1976760538266252
best of new done 0.2708731586168288
best of new done 0.25457902446475156
best of new done 0.3880057516624848
best of new done 0.32119078522842803
best of new done 0.328997381876611
best of new done 0.2827297384769936
best of new done 0.23923430488521236
best of new done 0.3684455237222433
best of new done 0.3684455237222433
best of new done 0.4258511256046545
best of new done 0.2905329707928856
best of new done 0.40629358913024594
best of new done 0.40448021402536294
best of new done 0.25457902446475156
best of new done 0.2693053797691934
best of new done 0.3414063850989685
best of new done 0.3616293865005493
best of new done 0.32920327901282415
best of new done 0.35094695860996544
best of new done 0.30807459935848913
best of new done 0.21477291766335013
best of new done 0.35007357794720545
best of new done 0.3939276493612141
best of new done 0.1976760538266252
best of new done 0.21477291766335013
best of new done 0.31156341194432163
best of new done 0.4241871268534947
best of new done 0.45802087097180083
best of new done 0.4336799268459586
best of new done 0.2593032198678624
best of new done 0.17139254423592304
best of new done 0.3575693102916943
best of new done 0.370627629646227
best of new done 0.21477291766335013
best of new done 0.3977872113655219
best of new done 0.17139254423592304
best of new done 0.3293203577765531
best of new done 0.32920327901282415
best of new done 0.32119078522842803
best of new done 0.2538415628265505
best of new done 0.30353409649847024
best of new done 0.2905329707928856
best of new done 0.2695832736164352
best of new done 0.25457902446475156
best of new done 0.3481592728735905
best of new done 0.3262514138606452
best of new done 0.3262514138606452
best of new done 0.2806922988415257
best of new done 0.38157583978780474
best of new done 0.4854818968643749
best of new done 0.220038097698864
best of new done 0.21477291766335013
best of new done 0.37183542493871863
best of new done 0.3616293865005493
best of new done 0.3858788207880747
best of new done 0.4290519513463721
best of new done 0.38233012308746117
best of new done 0.3512006292647117
best of new done 0.40101327137061676
best of new done 0.4025867678119525
best of new done 0.35167701871712614
best of new done 0.2827297384769936
best of new done 0.24920551292946538
best of new done 0.17139254423592304
best of new done 0.349087828585924
best of new done 0.27864072901043546
best of new done 0.2806922988415257
best of new done 0.31931416067647306
best of new done 0.29483729752607185
best of new done 0.25457902446475156
best of new done 0.35167701871712614
best of new done 0.33630538447925845
best of new done 0.3937930760695716
best of new done 0.45134132564112395
best of new done 0.2905329707928856
best of new done 0.2538415628265505
best of new done 0.3321712929600001
best of new done 0.4084016797438262
best of new done 0.22621232031942307
best of new done 0.23541713346777204
best of new done 0.32164093288897233
best of new done 0.3268859269307398
best of new done 0.46319454116899766
best of new done 0.3880057516624848
best of new done 0.5300855415128325
best of new done 0.35928781122596937
best of new done 0.3479204052809251
best of new done 0.4251089539012461
best of new done 0.4365140403679503
best of new done 0.3977872113655219
best of new done 0.3569610390134701
best of new done 0.1976760538266252
best of new done 0.35007357794720545
best of new done 0.3073902941704868
best of new done 0.2899321010457017
best of new done 0.4003212264471507
best of new done 0.3321712929600001
best of new done 0.28243367723538004
best of new done 0.3082784778953275
best of new done 0.40448021402536294
best of new done 0.33630538447925845
best of new done 0.25457902446475156
best of new done 0.4255687946890255
best of new done 0.17955979730570817
best of new done 0.3616293865005493
best of new done 0.34394107304705557
best of new done 0.17139254423592304
best of new done 0.4093881019715659
best of new done 0.2914103886543949
best of new done 0.4120163183573446
best of new done 0.3328784756075815
best of new done 0.4003212264471507
best of new done 0.2905329707928856
best of new done 0.4025867678119525
best of new done 0.3616293865005493
best of new done 0.17139254423592304
best of new done 0.3977872113655219
best of new done 0.17139254423592304
best of new done 0.22223567955138648
best of new done 0.26597334506812437
best of new done 0.3414063850989685
best of new done 0.3977872113655219
best of new done 0.31106952796399356
best of new done 0.38787925276834073
best of new done 0.3616293865005493
best of new done 0.2905329707928856
best of new done 0.398968091999685
best of new done 0.41481678855642556
best of new done 0.46032947578992833
best of new done 0.35167701871712614
best of new done 0.4464347834278373
best of new done 0.3480045135882016
best of new done 0.32639204295041174
best of new done 0.35927031669805576
best of new done 0.41933305499309026
best of new done 0.3108138387098727
best of new done 0.4951725195955533
best of new done 0.2806922988415257
best of new done 0.22223567955138648
best of new done 0.34546444270844884
best of new done 0.5041579782785249
best of new done 0.37674977785011476
best of new done 0.3321712929600001
best of new done 0.3590018429812289
best of new done 0.40448021402536294
best of new done 0.25027335199864886
best of new done 0.23541713346777204
best of new done 0.36901275014651663
best of new done 0.3099895772985622
best of new done 0.3616293865005493
best of new done 0.3480045135882016
best of new done 0.34094479870863464
best of new done 0.3684455237222433
best of new done 0.31106952796399356
best of new done 0.41887417329944776
best of new done 0.4043355477368472
best of new done 0.41887417329944776
best of new done 0.4003212264471507
best of new done 0.3512006292647117
best of new done 0.35928781122596937
best of new done 0.4037356815679788
best of new done 0.36613826463703225
best of new done 0.3157775745721073
best of new done 0.3161617813197468
best of new done 0.44167605138309146
best of new done 0.2914103886543949
best of new done 0.4397000630475871
best of new done 0.3823112828266311
best of new done 0.2905329707928856
best of new done 0.2806922988415257
best of new done 0.4814958359659233
best of new done 0.3616293865005493
best of new done 0.3460330148656387
best of new done 0.3616293865005493
best of new done 0.25457902446475156
best of new done 0.3465692894328341
best of new done 0.27864072901043546
best of new done 0.3880057516624848
best of new done 0.17955979730570817
best of new done 0.41163034259101067
best of new done 0.417899442679264
best of new done 0.35094695860996544
best of new done 0.17955979730570817
best of new done 0.17139254423592304
best of new done 0.2827297384769936
best of new done 0.29483729752607185
best of new done 0.328997381876611
best of new done 0.38645344874338816
best of new done 0.20758468529026453
best of new done 0.23541713346777204
best of new done 0.3977865384990636
best of new done 0.3460330148656387
best of new done 0.3880057516624848
best of new done 0.401961674872273
best of new done 0.3616293865005493
best of new done 0.2905329707928856
best of new done 0.36979663957033426
#
